word,mean
product,"생산품, 결과"
differently,다르게
regard,간주하다
stamp,우표
barber,이발사
disturb,방해하다
diploma,졸업증
preventive,예방하는
blood type,혈액형
inflexible,융통성이 없는
fortunate,행운의
nowhere,아무데도 ~이 없다
possibility,가능성
sacred,신성한
sure,확신하는
worthless,가치 없는
childcare,어린이보육
fame,명성
ancestor,조상
jokingly,농담으로
recognition,"인식, 승인"
alligator,"악어, 금이 가다"
arm,"팔, 무기, 무장하다"
teammate,팀 동료
obviously,명백하게
furthermore,게다가
debt,빚
satellite,"위성, 위성도시"
minute,"분, 순간, 사소한"
exactness,정확함
transform,변형(시키다)
be made up of,~로 구성되다
preservation,보존
volume,"양, 음량, (책)권"
communicative,"통신의, 말을 잘하는"
protection,보호
object,"물건, 목표, 반대하다"
oppress,억압하다
bundle,"묶음, 꾸러미, 보따리"
democratic,민주적인
proposal,"제안, 청혼"
restore,복구하다
artificial,인조의
undercover,"첩보활동의, 비밀리에 하는"
amaze,놀라게 하다
surf,(인터넷을)검색하다
despite,~에도 불구하고
selfishness,이기적임
justice,"정의, 공평성"
disturb,방해하다
gloomy,"우울한, 어둑어둑한"
compulsive,충동적인
sweeper,"청소부, 청소기"
pronounce,"발음하다, 선언하다"
cooperation,협력
by mistake,실수로
hardship,"곤란, 결핍"
basement,지하실
circuit,"회로, 순회"
moral,도덕적인
fossil,화석
entrant,참가자
beat,"~을 치다, 이기다"
grease,"지방, 기름"
cartoonist,만화가
beg,부탁하다
reference,"언급, 참고"
diarrhea,설사
haul,운반하다
toss,던지다
deserted,"황량한, 버림받은"
every,~마다
bathe,~을 목욕시키다
physiology,생리학
presentation,"발표, 제출, 수여"
automate,자동화하다
inconstantly,변덕스럽게
guard,"지키다, 경비요원"
solemn,엄숙한
arrogant,오만한
essence,본질
end up,마침내는 ~가 되다
thumping,"탁 치는, 막대한"
steal,훔치다
massive,대량의
factual,사실의
wagon,마차
injection,"주사, 주입"
perceive,인지하다
shockwave,충격파
interrupt,중단하다
reliance,신뢰
adjust,"조절하다, 적응하다"
cherish,소중히 하다
oriented,~지향의
misty,안개가 짙은
tremendously,거대하게
typical,전형적인
formation,"구성, 형성"
chaos,혼돈
superstition,미신
pair,한 쌍
specific,구체적인
valve,"판, 밸브"
versatile,"다용도의, 다재다능한"
demonstrate,"설명하다, ~을 논증하다"
at heart,진심으로
environmentalist,환경론자
shoeshine,구두닦이
shore,"해안, 상륙시키다"
in trouble,곤경에 처한
construction,"건설, 구성"
associate A with B,A에서 B를 연상하다
importance,중요성
dairy,낙농의
spontaneous,"자진해서, 자연히 생기는"
spiritual,정신의
adjustment,조절
lazy,게으른
repetitive,반복적인
gigantic,거대한
empty,공허한
reinforce,강화하다
substitute,"대신하다, 대리인"
pillar,기둥
prosperity,번영
put on,~을 입다
interview,인터뷰
finger,손가락
daydream,공상에 잠기다
immeasurable,측정할 수 없는
drive out,추방하다
airline,"일직선의, 항공사"
ownership,소유권
amusement,"즐거움, 놀이"
evaluative,평가의
vision,"시력, 환상, 광경"
firefly,반딧불
eggshell,달걀껍질
downhill,내리막
deceased,죽은
tinkle,전화 울림
pure,순수한
beneath,밑에
carry,"옮기다, 휴대하다"
demanding,"부담이 큰, 힘든"
naive,순진한
tackle,"부딪치다, 연장, 도구"
native,"출신의, 원주민의"
constructive,건설적인
loft,다락
entertain,~을 즐겁게 하다
turn around,돌아보다
efficiently,능률적으로
widow,미망인
deal,"분배하다, 다루다, 거래하다"
support,"지지하다, 부양하다"
sincerity,성실
explain,설명하다
compensation,보상
simplistic,단순화한
dangerous,위험한
ineffective,효과가 없는
statesman,정치가
sensory,감각의
captivate,매혹하다
storage,"저장, 창고"
ceiling,"천장, 한계"
obscure,"애매한, 희미한"
incident,사건
evil spirit,악령
obsess,사로잡히다
barely,거의~않다
gene,유전자
awkward,어색한
whip,채찍질하다
isolate,고립시키다
so that,~하기 위해서
disappoint,실망시키다
march,"행진하다, 행진곡"
consistency,일관성
compensate,~에게 보상하다
spoil,망치다
consultant,상담자
angrily,"노하여, 성나서"
take a chance,운명에 맡기고 해보다
mint,"박하, 화폐주조소"
brothel,지저분한 곳
command,명령하다
resentful,화난
stay on,남아있다
insecurely,불안정하게
still,"조용한, 여전히, 정지된, 평온한"
saddle,안장
coverage,"(라디오,TV)보도, (보험의)보상범위"
freedom,자유
earthshaking,떠들썩한
rivalry,경쟁
firmly,단단하게
peanut,땅콩
navigate,항해하다
in the face of,~에 상관하지 않고
not A but B,A가 아니라 B이다
shave,면도하다
stabilize,~을 안정시키다
digest,"소화하다, 요약"
administrative,관리상의
utility,"전기, 가스, 유용성"
hypothesis,가설
lose weight,체중을 줄이다
crop,작물
landowner,토지소유자
incentive,장려금
cheerfully,명랑하게
tragedy,비극
orbital,궤도의
discriminate,차별하다
spend,소비하다
suicide,자살
immortal,"영원한, 불멸의"
pastime,기분전환
representation,"표현, 대표"
periodically,주기적으로
at random,무작위로
backpack,배낭
cure,치료
immediately,"즉시, 직접"
towards,~쪽으로
commercial,"상업적인, 광고방송"
stack,쌓아 올리다
witch,마녀
postpone,연기하다
demographic,인구(통계)의
irrigation,관개(물을 끌어들임)
international,국제적인
drainage,배수(의)
hospitable,"공손한, 환대하는"
take after,~을 닮다
highway,고속도로
self-confidence,자신감
obesity,비만
option,선택(권)
irritate,짜증나게 하다
camper,야영자
tank,"탱크, 웅덩이"
pants,"바지, 팬츠"
scientist,과학자
place,장소
engage in,"~에 착수하다, ~에 종사하다"
freshwater,담수
emerge,출현하다
parallel,평행의
intensely,대단히
transfer,"(병이)옮다, 옮기다, 갈아타다"
painting,그림
rescue,구출하다
confidential,"기밀의, 신뢰할 만한"
quietness,침묵
delightful,기쁜
viewer,관찰자
workable,실행 가능한
following,그 다음의
in sight,시야에
doze,졸다
dependability,의존할 수 있음
reserve,예약하다
getaway,도망
fireplace,"취사장, 벽난로"
accumulation,축적
undermine,~을 침식하다
intercept,"가로채다, 차단시키다"
regretful,후회하는
leap,뛰어오르다
deduct,"빼다, 공제하다"
suspicion,"의심, 혐의"
bug,곤충
imperfect,불완전한
approval,"인정, 찬성"
goodness,친절
gate,문
receiver,수신인
a variety of,다양한
make up,화해하다
identification,"신원 확인, 식별"
technique,기술
as a result,결과적으로
curfew,출입 제한 시간
poodle,푸들
apiece,각자에게
emigrate,이민 가다
mother tongue,모국어
medicinal,약용의
upright,"직립한, 곧은"
hierarchical,계층제의
decline,"거절하다, 기울다"
theatergoer,극장에 자주 가는 사람
bring,"가져오다, 초래하다"
simplicity,간단
crevice,균열
victim,피해자
learn,배우다
mammal,포유동물
choose,선택하다
transplantation,이식
humanity,"인류, 인간애"
break out,발생하다
tail,꼬리
bloom,개화
boost,증진시키다
let go of,~을 버리다
obtainable,획득할 수 있는
hardware,기계 설비
dozen,12개
choir,합창단
bore,~을 지루하게 하다
even if,비록~일지라도
primarily,최초로
duration,내구성
tired,"피곤한, 질린"
traffic jam,교통 혼잡
eventful,다사다난한
bridge,다리
envious,시기하는
laundry,"세탁, 세탁소"
pouch,가방
elegant,우아한
gift,"선물, 재능"
flammable,가연성의
protein,단백질
friction,마찰
learn one‘s lesson,교훈을 얻다
waist,허리
councilor,"고문관, 의원"
mostly,"주로, 대부분은"
latter,후자
youth,젊음
kitchen,주방
sentiment,정서
meantime,그 동안
yell,외치다
genre,장르
effort,노력
misguide,잘못 지도하다
seemingly,겉으로는
needle,"바늘, 바느질"
sealed,봉인된
in fact,사실
sell out,매진되다
syllabus,시간표
furnish,"공급하다, 비치하다"
constitute,구성하다
consensus,"의견 일치, 합의"
challenge,도전하다
assist,원조하다
intend,의도하다
advancement,"전진, 승진"
depreciation,가치하락
starve,굶주리다
shift,전환(하다)
attempt,시도하다
distinct,"뚜렷한, 별개의"
watch,지켜보다
antibody,항체
activate,활성화 시키다
fare,요금
mosquito,모기
victimless,피해자 없는
generalist,박학다식한 사람
owe,빚지다
neighbor,이웃
endangerment,위험에 빠뜨리는 것
throughout,"~동안 내내, ~을 통하여"
passage,"구절, 통행"
woolly,양모로 된
conqueror,정복자
greenhouse,온실효과
behavioral,행동의
globalization,세계화
spacious,"넓은, 거대한"
watchman,경비원
citizenship,시민권
errand,심부름
wake,잠이 깨다
unconscious,무의식의
bareback,안장이 없는
invariably,일정불변하게
retain,~을 유지하다
century,세기
in addition,게다가
plastic,플라스틱
dimly,희미하게
enterprise,"기업, 진취적 정신"
kingdom,"왕국, 영역"
set in,시작되다
the amount of,~의 양
so far,현재까지
set up,설립하다
turkey,칠면조
